id_no,gender,age,edn,h,e,x,a,c,o,dev_i,dev_o,ocb_i,ocb_o
1,1,50,1,4.00,3.44,3.53,3.33,3.94,4.31,0.57,0.25,1.75,0.50
2,1,70,1,4.38,3.31,3.63,3.25,3.50,3.44,1.00,1.25,3.88,4.38
3,1,48,1,3.38,3.75,3.25,2.31,4.19,4.13,1.00,0.83,3.00,1.88
4,2,23,1,3.44,2.88,3.44,2.94,3.25,3.38,1.00,1.58,3.25,3.88
5,2,20,1,2.81,1.94,3.63,4.38,3.44,3.25,1.00,1.75,0.00,0.00
6,1,22,1,2.50,3.69,3.75,2.69,4.19,3.63,1.00,2.00,5.63,4.75
7,2,53,1,4.06,1.81,3.44,3.69,4.75,2.81,1.00,1.08,2.38,5.63
8,1,22,1,3.31,4.13,2.31,2.44,4.19,2.75,1.00,1.33,2.38,1.00
9,1,22,1,3.50,3.88,3.50,3.06,3.13,3.19,1.00,0.92,3.50,0.25
10,1,22,1,3.56,3.50,4.00,3.81,2.75,4.56,1.00,2.50,4.25,3.00
11,1,19,1,3.88,2.94,4.06,3.00,3.00,4.06,1.00,1.42,2.75,3.25
12,1,21,1,3.25,3.25,3.81,3.44,3.69,2.94,1.00,0.83,2.75,0.38
13,1,19,1,3.38,3.31,2.75,3.25,3.56,2.38,1.00,1.67,2.50,3.13
14,1,25,1,2.56,3.88,1.88,2.13,3.13,2.69,1.00,1.50,1.38,1.38
15,2,21,2,3.44,3.69,3.63,2.94,4.25,3.50,1.00,2.50,3.50,4.38
16,2,21,2,4.00,2.50,3.56,2.94,3.44,4.00,1.00,2.83,2.63,2.63
17,2,22,2,3.31,2.56,4.31,3.06,4.00,3.75,1.00,2.33,3.38,3.75
18,1,41,2,3.88,3.63,2.94,3.13,3.81,2.81,1.00,1.00,1.75,1.00
19,1,19,2,3.69,3.31,3.38,2.81,3.88,3.31,1.00,1.08,5.50,5.25
20,1,31,2,4.25,3.75,4.13,1.81,2.50,4.00,1.00,2.08,4.25,2.13
21,2,28,2,3.94,3.31,3.38,3.13,3.75,3.31,1.00,1.00,3.00,1.88
22,1,21,2,2.63,2.94,3.81,3.50,2.25,4.38,1.00,2.17,3.13,3.75
23,1,57,2,4.81,2.19,2.75,3.50,3.75,3.25,1.00,1.25,2.88,1.75
24,2,52,2,4.44,2.81,2.94,3.69,3.81,2.75,1.00,1.00,4.00,4.63
25,1,20,2,3.06,3.06,3.88,1.94,3.63,4.25,1.00,1.08,4.13,3.38
26,1,53,2,3.38,3.50,3.19,3.25,4.38,3.25,1.00,1.17,4.00,4.00
27,2,59,2,3.56,2.06,4.19,3.69,3.44,3.31,1.00,1.33,4.00,5.38
28,1,48,3,3.81,3.44,3.69,4.13,4.25,2.75,1.00,1.25,3.25,2.75
29,2,20,3,1.44,2.75,4.44,1.81,2.63,3.75,1.14,3.00,1.88,3.13
30,1,20,3,2.75,3.50,3.25,2.81,2.25,3.94,1.14,2.25,4.38,1.50
31,1,22,3,3.19,4.44,3.31,2.69,3.13,2.19,1.14,1.83,3.50,2.13
32,1,19,3,2.88,3.50,3.25,2.75,3.25,2.63,1.14,1.75,3.25,2.63
33,1,19,3,3.88,3.44,3.94,4.19,3.63,3.50,1.14,1.17,4.63,2.63
34,1,57,3,4.13,3.31,4.19,3.25,3.56,3.75,1.14,1.00,3.00,2.63
35,1,20,3,3.13,3.50,3.19,2.25,2.75,3.44,1.29,2.58,3.75,2.25
36,1,21,3,4.25,4.06,3.56,3.13,3.94,4.13,1.29,1.25,5.13,6.38
37,1,28,3,4.06,4.38,3.06,1.75,3.75,4.13,1.29,2.08,4.00,4.50
38,1,20,3,3.06,3.88,2.56,2.69,4.25,3.38,1.29,2.25,3.88,2.50
39,1,19,3,4.06,3.25,3.00,2.69,2.69,4.38,1.29,1.33,1.75,2.00
40,2,39,3,3.75,2.69,3.25,3.06,4.19,3.88,1.29,1.17,4.38,5.00
41,2,20,3,4.19,3.56,2.69,2.56,2.06,4.44,1.29,2.17,4.50,3.25
42,1,20,3,3.00,3.44,4.00,3.13,3.44,3.56,1.29,2.67,4.75,4.25
43,2,20,3,3.75,2.69,3.69,2.81,3.63,2.38,1.29,1.75,3.50,2.75
44,2,34,4,3.50,3.94,3.31,3.88,3.50,3.38,1.29,1.75,3.00,2.75
45,1,58,4,4.00,3.19,3.63,2.06,3.88,3.13,1.29,1.83,3.88,2.13
46,2,21,4,2.94,2.19,4.06,3.44,3.44,3.75,1.43,1.50,4.63,3.38
47,2,24,4,4.00,2.88,3.75,2.88,3.13,4.00,1.43,1.58,0.88,2.13
48,2,25,4,3.56,2.69,3.44,3.69,3.63,4.13,1.43,2.50,2.63,2.50
49,2,21,4,2.44,3.56,3.63,2.75,3.81,3.19,1.43,1.42,2.63,3.13
50,2,25,4,2.31,3.13,3.75,2.13,3.63,3.56,1.43,1.42,3.50,2.13
51,2,56,4,4.13,4.44,3.00,3.69,3.75,2.38,1.43,1.25,3.00,2.38
52,2,41,4,2.81,2.00,3.50,3.19,3.63,3.75,1.43,1.33,4.00,4.50
53,2,26,4,3.00,3.00,2.69,2.81,3.19,2.94,1.43,1.33,1.88,1.00
54,1,21,4,3.81,3.75,2.63,2.50,3.63,3.69,1.43,1.75,2.63,0.50
55,1,19,4,3.81,3.50,3.56,3.50,2.75,3.13,1.43,1.67,3.88,1.75
56,1,19,4,4.00,3.75,3.00,2.56,3.56,3.38,1.43,1.33,3.25,2.63
57,1,53,4,4.13,3.25,3.44,3.00,3.44,3.44,1.43,0.83,2.63,3.00
58,2,25,4,3.69,3.06,4.00,4.56,3.69,3.94,1.57,2.25,5.00,4.63
59,1,21,4,3.00,4.31,3.63,3.63,3.63,3.75,1.57,1.92,4.63,4.25
60,2,27,4,2.75,2.56,3.38,2.69,3.00,3.50,1.57,1.50,4.25,2.75
61,2,34,4,4.00,3.69,3.63,2.81,3.88,4.56,1.57,1.25,2.88,2.63
62,1,20,4,2.94,2.44,3.81,2.56,3.00,3.88,1.71,2.58,4.38,5.13
63,1,18,4,3.50,3.06,3.81,2.88,2.69,3.13,1.71,2.42,5.50,5.00
64,2,23,4,2.69,3.69,3.81,3.56,3.63,4.31,1.71,1.58,5.63,4.25
65,1,19,4,3.00,4.00,3.25,3.00,3.50,3.13,1.71,2.67,5.50,4.71
66,2,57,4,3.44,4.06,3.50,2.63,3.94,3.25,1.71,2.00,3.88,2.63
67,1,22,4,3.50,3.88,3.31,2.81,3.50,4.00,1.71,2.33,5.75,4.25
68,1,28,4,3.81,3.38,3.13,2.75,3.50,2.56,1.71,1.00,3.00,0.50
69,1,49,4,3.94,3.06,3.69,2.69,3.88,2.75,1.71,1.33,4.63,6.00
70,1,51,4,3.31,3.50,3.94,2.19,4.19,1.94,1.71,1.25,3.13,3.38
71,2,20,4,2.88,3.31,4.06,3.00,3.06,3.88,1.71,1.92,6.25,4.75
72,2,19,4,3.75,3.31,1.75,2.63,3.44,3.25,1.71,2.25,3.88,2.38
73,2,45,4,3.56,3.38,3.69,3.69,3.31,2.38,1.86,2.33,4.50,3.88
74,2,23,4,2.44,3.50,4.50,2.88,3.38,3.38,1.86,2.17,4.88,3.25
75,2,46,5,3.38,2.19,4.06,2.94,2.94,3.94,1.86,1.08,5.63,5.63
76,1,44,5,3.25,2.25,4.25,3.38,4.38,2.69,1.86,2.00,4.25,5.50
77,2,19,5,4.06,2.06,3.50,3.38,3.31,3.38,1.86,1.50,3.50,3.50
78,2,44,5,3.19,3.81,3.44,1.88,3.63,2.25,1.86,2.58,2.38,3.13
79,1,23,5,3.00,3.44,3.19,2.63,3.44,3.38,2.00,1.67,4.50,5.38
80,2,20,5,3.88,2.75,4.25,3.63,3.75,3.63,2.00,1.58,3.88,4.63
81,1,22,5,4.19,3.38,4.25,3.25,3.38,4.31,2.00,2.17,4.00,4.88
82,2,48,5,3.44,3.38,3.25,2.69,4.25,2.81,2.14,2.33,5.88,6.00
83,1,18,5,2.44,2.38,3.31,2.44,3.56,3.00,2.14,2.33,4.25,1.88
84,1,49,5,4.25,3.38,2.31,3.44,3.44,2.81,2.14,1.50,5.25,3.75
